type,latitude,longitude,alt,name,color
T,-32.642445,-69.127595,2965.7,,red
T,-32.643003,-69.12761,2965.3,,red
T,-32.643441,-69.127604,2964.9,,red
T,-32.643529,-69.127422,2964.5,,red
T,-32.644073,-69.127212,2964,,red
T,-32.644592,-69.1272,2963.8,,red
T,-32.644629,-69.127048,2963.3,,red
T,-32.645172,-69.126956,2962.7,,red
T,-32.645501,-69.126882,2962.2,,red
T,-32.646068,-69.12685,2961.6000000000004,,red
T,-32.646249,-69.126623,2960.7,,red
T,-32.646671,-69.126318,2960.1,,red
T,-32.647148,-69.126071,2959.8999999999996,,red
T,-32.647682,-69.125927,2959.3,,red
T,-32.648014,-69.125656,2958.6,,red
T,-32.648545,-69.125609,2958,,red
T,-32.648635,-69.125398,2957.9,,red
T,-32.649188,-69.125252,2957.8,,red
T,-32.649716,-69.125058,2957.1,,red
T,-32.65019,-69.124853,2956.3999999999996,,red
T,-32.65075,-69.124664,2955.8999999999996,,red
T,-32.651289,-69.124486,2955.3,,red
T,-32.651856,-69.124382,2954.8,,red
T,-32.652345,-69.124312,2954.3,,red
T,-32.65291,-69.124255,2953.8,,red
T,-32.653386,-69.124189,2953.3,,red
T,-32.653965,-69.124162,2952.7,,red
T,-32.654535,-69.124162,2952.5,,red
T,-32.655078,-69.124159,2952.5,,red
T,-32.655252,-69.124171,2951.9,,red
T,-32.655818,-69.124169,2951.4,,red
T,-32.655861,-69.124178,2951.2,,red
T,-32.656448,-69.124147,2950.9,,red
T,-32.657025,-69.124139,2950.6000000000004,,red
T,-32.657202,-69.124114,2950.6000000000004,,red
T,-32.657752,-69.124087,2950.6000000000004,,red
T,-32.658308,-69.124053,2950.2,,red
T,-32.658852,-69.123982,2949.8,,red
T,-32.659411,-69.123844,2949.5,,red
T,-32.659966,-69.123825,2949.3,,red
T,-32.66009,-69.123762,2949.3999999999996,,red
T,-32.660634,-69.123745,2949.5,,red
T,-32.6608,-69.123726,2949.3,,red
T,-32.660883,-69.123663,2949.2,,red
T,-32.661439,-69.123616,2949.2,,red
T,-32.661989,-69.123639,2949,,red
T,-32.662322,-69.123619,2948.4,,red
T,-32.662716,-69.123512,2947.8,,red
T,-32.663281,-69.123459,2947.3,,red
T,-32.663536,-69.123313,2947.2,,red
T,-32.664094,-69.123304,2946.6000000000004,,red
T,-32.664429,-69.12321,2946,,red
T,-32.664989,-69.123125,2945.8,,red
T,-32.665548,-69.123082,2945.1000000000004,,red
T,-32.666098,-69.123078,2944.7,,red
T,-32.666144,-69.122992,2944.3,,red
T,-32.666723,-69.122878,2943.9,,red
T,-32.667276,-69.122812,2943.7,,red
T,-32.667497,-69.12265,2943.1,,red
T,-32.668052,-69.122614,2942.6,,red
T,-32.668185,-69.122471,2942.3,,red
T,-32.668723,-69.122317,2942,,red
T,-32.669261,-69.122206,2941.6,,red
T,-32.669596,-69.121978,2941.3,,red
T,-32.670141,-69.121837,2940.8,,red
T,-32.670382,-69.121459,2939.8999999999996,,red
T,-32.670828,-69.121125,2939.5,,red
T,-32.671292,-69.1211,2939.4,,red
T,-32.671326,-69.120768,2939.1000000000004,,red
T,-32.671805,-69.120664,2938.5,,red
T,-32.671947,-69.12044,2938,,red
T,-32.672233,-69.120361,2937.4,,red
T,-32.672288,-69.120108,2937,,red
T,-32.672465,-69.119884,2937.4,,red
T,-32.672622,-69.119404,2937.4,,red
T,-32.672984,-69.119097,2936.6,,red
T,-32.673269,-69.118715,2935.7,,red
T,-32.67367,-69.118585,2934.8,,red
T,-32.673784,-69.118551,2934.1000000000004,,red
T,-32.673767,-69.118374,2934.1000000000004,,red
T,-32.673247,-69.118282,2934.8,,red
T,-32.673086,-69.118265,2935.7,,red
T,-32.673026,-69.118243,2935.8999999999996,,red
T,-32.672999,-69.118012,2936.5,,red
